year,sector,EJ
1990,comm heating,0.0
1990,comm others,0.0
1990,resid heating,0.0
1990,resid others,0.0
2005,comm heating,0.002531
2005,comm others,0.0010847
2005,resid heating,0.018155803999999998
2005,resid others,0.007781091
2010,comm heating,0.003494
2010,comm others,0.0014974
2010,resid heating,0.02615299
2010,resid others,0.011208392
2015,comm heating,0.003134
2015,comm others,0.0013431
2015,resid heating,0.019990404
2015,resid others,0.008567301
2020,comm heating,0.0
2020,comm others,0.0
2020,resid heating,0.0
2020,resid others,0.0
2021,comm heating,0.0041627
2021,comm others,0.001784
2021,resid heating,0.028345699999999998
2021,resid others,0.012148200000000001
2025,comm heating,0.00385578
2025,comm others,0.00137582
2025,resid heating,0.02501544
2025,resid others,0.009722191
2030,comm heating,0.00390099
2030,comm others,0.00119576
2030,resid heating,0.024331640000000005
2030,resid others,0.008685802
2035,comm heating,0.00353684
2035,comm others,0.0009366
2035,resid heating,0.022088550000000002
2035,resid others,0.007040631
2040,comm heating,0.00345922
2040,comm others,0.000910762
2040,resid heating,0.02109962
2040,resid others,0.006855258
2045,comm heating,0.00328133
2045,comm others,0.000828042
2045,resid heating,0.01980479
2045,resid others,0.00631581
2050,comm heating,0.00302809
2050,comm others,0.000714867
2050,resid heating,0.018150219999999998
2050,resid others,0.0055564149999999994
2055,comm heating,0.00291226
2055,comm others,0.000688987
2055,resid heating,0.016927369999999997
2055,resid others,0.005365091000000001
2060,comm heating,0.00269606
2060,comm others,0.000629853
2060,resid heating,0.015442730000000002
2060,resid others,0.004947073000000001
2065,comm heating,0.00247026
2065,comm others,0.000566655
2065,resid heating,0.014010040000000001
2065,resid others,0.004497646
2070,comm heating,0.00223941
2070,comm others,0.000500649
2070,resid heating,0.012632699999999998
2070,resid others,0.004019806000000001
2075,comm heating,0.00201937
2075,comm others,0.000437451
2075,resid heating,0.011370522000000001
2075,resid others,0.0035560979999999997
2080,comm heating,0.00183889
2080,comm others,0.000391232
2080,resid heating,0.010300792999999999
2080,resid others,0.003209211
2085,comm heating,0.00170326
2085,comm others,0.000363385
2085,resid heating,0.009435981
2085,resid others,0.002993798
2090,comm heating,0.00158834
2090,comm others,0.000339545
2090,resid heating,0.008682429
2090,resid others,0.0028094680000000003
2095,comm heating,0.00146506
2095,comm others,0.000311514
2095,resid heating,0.007936086
2095,resid others,0.002592899
2100,comm heating,0.00134046
2100,comm others,0.000286437
2100,resid heating,0.007205195
2100,resid others,0.002395144
