# File: KOR_en_bal.csv
# Title: South Korea energy balance override (GCAM_region_ID 28), by intermediate sector / intermediate fuel / historical year
# Units: EJ
# Source: Extracted from L101.en_bal_EJ_R_Si_Fi_Yh_full (region 28), the same processing as the global IEA-based balance.
#   Serves as the editable Korea-specific overlay; sector=TES is excluded and recomputed downstream from in_/net_ sectors.
# Column types: ccnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnnn
# ----------
sector,fuel,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
cement,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0930000000000002e-4,7.1162e-4,0.00200928,0.016618420000000002,0.015571920000000001,0.00828828,0.01155336,0.016744000000000002,0.0140231,0.01707888,0.01753934,0.026329940000000003,0.024613680000000002,0.029553160000000002,0.029846180000000003,0.02821364,0.031143840000000002,0.033571720000000006,0.03528798,0.0282555,0.02938572,0.030808960000000003,0.029846180000000003,0.030306640000000003,0.03009734
cement,coal,0,0,0,0,0,0,0,0.0029302,0.01239056,0.0192556,0.027502020000000002,0.045501820000000005,0.05801796,0.058938880000000006,0.06417138,0.07120386000000001,0.0699062,0.07568288000000001,0.08016190000000001,0.085813,0.10109190000000001,0.0910455,0.11331502,0.12210562000000001,0.13307294,0.15513316000000002,0.16024008,0.12164516,0.12030564,0.12855206,0.13282178,0.14621698,0.1594866,0.13922636000000002,0.11829636,0.12331956000000001,0.12419862000000001,0.12897066000000001,0.10967320000000001,0.11214294000000001,0.12566372,0.11402664000000001,0.11457082,0.11971960000000001,0.11465454000000001,0.11222666,0.09891518,0.09590126,0.09008272,0.08778042000000001,0.08346884
cement,electricity,0.00305578,0.0031395000000000004,0.00410228,0.0047301800000000005,0.005399940000000001,0.006488300000000001,0.007576660000000001,0.00828828,0.00933478,0.00937664,0.00950222,0.01050686,0.01197196,0.01209754,0.012599860000000001,0.013813800000000001,0.01523704,0.017246320000000002,0.0184184,0.020260240000000002,0.02356718,0.02578576,0.02854852,0.0316043,0.03357172,0.0345345,0.035664720000000004,0.0278369,0.030055480000000002,0.03252522,0.03365544,0.03587402,0.037171680000000006,0.03658564,0.035915880000000004,0.037674,0.0406042,0.041650700000000006,0.041022800000000005,0.042320460000000004,0.04303208,0.03980886,0.04148326,0.04198558,0.04428788,0.04633902,0.04638088,0.046422740000000004,0.04483206,0.04278092,0.044873920000000005
cement,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00179998,0.0020930000000000002,0.0028046200000000003,0.00309764,0.0049394800000000004,0.00590226,0.00719992,0.0092092,0.00966966,0.01017198,0.011637080000000001,0.01264172,0.013813800000000001,0.02034396,0.019046300000000002,0.01733004,0.01854398,0.01887886,0.019757920000000002,0.02465554,0.02695784,0.023650900000000002,0.021725340000000003,0.022311380000000002,0.02277184,0.023650900000000002,0.0249067,0.02285556,0.02381834
cement,heat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.2558e-4,2.9302e-4,0,0,0,0,0,0,0,0,4.186e-5,4.186e-5,2.9302e-4,8.372e-5,1.2558e-4,1.2558e-4,1.2558e-4,1.2558e-4,1.2558e-4,1.2558e-4
cement,refined liquids,0,0,0,0,0,0,0,0,0,0,0.0500227,0.028339220000000002,0.02457182,0.028004340000000003,0.029427580000000002,0.030432220000000003,0.0326508,0.037171680000000006,0.0424879,0.04968782000000001,0.054334280000000006,0.06157606000000001,0.06325046,0.06752018,0.06417138,0.062413260000000005,0.05939934,0.0401856,0.044999500000000005,0.044748340000000005,0.04349254,0.04420416,0.0424879,0.04194372,0.04068792,0.041901860000000006,0.0408135,0.03826004,0.03457636,0.03403218,0.03612518000000001,0.02524158,0.02093,0.01858584,0.02159976,0.02335788,0.0205114,0.02130674,0.02444624,0.0219765,0.020260240000000002
chemical energy use,biomass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025953200000000004,0.0031813600000000003,0.0033488000000000003,0.00380926,0.0041860000000000005,0.005944120000000001,0.0024278800000000003,0.0025953200000000004,0.0031395000000000004,0.00435344,0.00347438,0.00343252,0.0041860000000000005,0.00510692,0.0056511,0.0054836600000000004,0.00531622,0.0054836600000000004,0.005190640000000001,0.005190640000000001,0.00359996,0.0018837,0.0017581200000000002,0.00196742,0.0022604400000000003,0.01134406,0.014023100000000002,0.01636726,0.0173719,0.01645098,0.0175812,0.0177905
chemical energy use,coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.209200000000001e-4,0.0015069600000000001,0.0014651,0.0018837,0.0018418400000000002,0.00205114,0.00276276,0.0047301800000000005,0.0058185400000000005,0.00640458,0.0065720200000000005,0.006279000000000001,0.006153420000000001,0.006488300000000001,0.006488300000000001,0.00665574,0.007032480000000001,0.0033488000000000003,0.0031813600000000003,0.0035162400000000003,0.00343252,0.00326508,5.4418e-4,0.00422786,0.015153320000000001,0.01640912,0.0056511,0.00611156,0.004646460000000001,0.0035162400000000003,0.0031395000000000004,0.00322322,0.0029302,0.00309764,0.0030139200000000002
chemical energy use,electricity,0.005399940000000001,0.0058185400000000005,0.007367360000000001,0.00740922,0.00887432,0.00937664,0.010925460000000001,0.01247428,0.013813800000000001,0.015404480000000002,0.01624168,0.01645098,0.01829282,0.01963234,0.020636980000000003,0.02285556,0.0257439,0.029929900000000002,0.032692660000000005,0.03930654,0.046171580000000004,0.05207384,0.05847842,0.06249698,0.0680225,0.07538986,0.08363628000000001,0.08292466000000001,0.08962226000000001,0.12252422,0.12340328,0.11164062000000001,0.13692406000000001,0.14190540000000001,0.14362166,0.14571466,0.1475565,0.12378002,0.12645906,0.14705418,0.16028194,0.16371446,0.16886324,0.17175158000000001,0.17627246000000002,0.1724632,0.18682118,0.19046300000000002,0.19063044,0.1818817,0.19569550000000002
chemical energy use,gas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1162e-4,8.790600000000001e-4,0.00142324,0.0020930000000000002,0.0038929800000000003,0.00619528,0.007241780000000001,0.01167894,0.0121394,0.01481844,0.01682772,0.01640912,0.01762306,0.01553006,0.028632240000000003,0.0414414,0.04391114,0.07174804,0.10121748000000001,0.09556638,0.12666836,0.11494756,0.060487700000000005,0.0458367,0.04533438,0.044999500000000005,0.03742284,0.03842748,0.0493948
