# File: share_districtheat_korea.csv
# Title: South Korea district heat split between heating and non-heating (others) building services, by year
# Units: Unitless (fraction of district heat fuel consumption)
# Source: PLACEHOLDER -- assuming 70:30 split. No Korea-specific data yet; to be replaced with actual
#   data (e.g. KDHC / Korea District Heating Corporation heating vs. hot water supply statistics) later.
#   Applies only to fuel = "heat" (district heat) in South Korea; no other fuel or region is affected.
# Column types: nnn
# ----------
year,heating_share,others_share
1971,0.7,0.3
1972,0.7,0.3
1973,0.7,0.3
1974,0.7,0.3
1975,0.7,0.3
1976,0.7,0.3
1977,0.7,0.3
1978,0.7,0.3
1979,0.7,0.3
1980,0.7,0.3
1981,0.7,0.3
1982,0.7,0.3
1983,0.7,0.3
1984,0.7,0.3
1985,0.7,0.3
1986,0.7,0.3
1987,0.7,0.3
1988,0.7,0.3
1989,0.7,0.3
1990,0.7,0.3
1991,0.7,0.3
1992,0.7,0.3
1993,0.7,0.3
1994,0.7,0.3
1995,0.7,0.3
1996,0.7,0.3
1997,0.7,0.3
1998,0.7,0.3
1999,0.7,0.3
2000,0.7,0.3
2001,0.7,0.3
2002,0.7,0.3
2003,0.7,0.3
2004,0.7,0.3
2005,0.7,0.3
2006,0.7,0.3
2007,0.7,0.3
2008,0.7,0.3
2009,0.7,0.3
2010,0.7,0.3
2011,0.7,0.3
2012,0.7,0.3
2013,0.7,0.3
2014,0.7,0.3
2015,0.7,0.3
2016,0.7,0.3
2017,0.7,0.3
2018,0.7,0.3
2019,0.7,0.3
2020,0.7,0.3
2021,0.7,0.3
