# File: post2100_socioeconomics.csv
# Title: Post-2100 population and GDP growth factors by SSP scenario and GCAM region
# Units: unitless growth factor relative to the year 2100
# Source: Rennert et al. (2022) Resources for the Future Socioeconomic Projections (RFF-SPs) v5, doi:10.5281/zenodo.6016583, CC-BY-4.0. Population component from Raftery and Sevcikova (2021).
# Description: Extends the SSP drivers past 2100 where the SSP database ends. Each SSP is matched per region to the RFF-SP percentile with the same 2025-2100 growth, and that percentile's later growth is carried forward; population and GDP per capita matched independently. Growth factors relative to 2100, not levels, so no unit or PPP-vintage conversion applies and periods to 2100 are unchanged. outside.rff.range marks the 10 of 160 region-scenario pairs lying outside the RFF-SP draw range, where the path is a tail extrapolation.
# Column types: cicinni 
# ----------
scenario,GCAM_region_ID,region,year,pop.ratio,gdp.ratio,outside.rff.range
SSP1,1,USA,2110,0.99374,1.048064,0
SSP1,1,USA,2120,0.989235,1.134673,0
SSP1,1,USA,2130,0.980798,1.198085,0
SSP1,1,USA,2140,0.971451,1.212482,0
SSP1,1,USA,2150,0.963542,1.278839,0
SSP1,1,USA,2160,0.955985,1.391281,0
SSP1,1,USA,2170,0.944836,1.42755,0
SSP1,1,USA,2180,0.933251,1.436513,0
SSP1,1,USA,2190,0.924582,1.499975,0
SSP1,1,USA,2200,0.9136,1.60624,0
SSP1,1,USA,2220,0.8972,1.849609,0
SSP1,1,USA,2240,0.882155,1.99633,0
SSP1,1,USA,2260,0.87078,2.102826,0
SSP1,1,USA,2280,0.865324,2.550379,0
SSP1,1,USA,2300,0.865519,2.74898,0
SSP1,2,Africa_Eastern,2110,1.001167,1.213249,1
SSP1,2,Africa_Eastern,2120,0.996173,1.491091,1
SSP1,2,Africa_Eastern,2130,0.991969,1.830938,1
SSP1,2,Africa_Eastern,2140,0.978336,2.188921,1
SSP1,2,Africa_Eastern,2150,0.960534,2.610427,1
SSP1,2,Africa_Eastern,2160,0.944807,2.931421,1
SSP1,2,Africa_Eastern,2170,0.937109,3.306606,1
SSP1,2,Africa_Eastern,2180,0.91585,3.543786,1
SSP1,2,Africa_Eastern,2190,0.902163,3.767878,1
SSP1,2,Africa_Eastern,2200,0.892522,4.32448,1
SSP1,2,Africa_Eastern,2220,0.872694,5.887245,1
SSP1,2,Africa_Eastern,2240,0.855132,7.376155,1
